id;name;amount;unit;instruction_id
95;Goats cheese;90;GRAM;80
96;Pepitas (pumpkin seeds);30;GRAM;78
97;Sunflower seeds;30;GRAM;78
98;Sea salt;5;GRAM;76
99;Apple cider vinegar;30;MILLILITRES;79
100;Extra virgin olive oil;60;MILLILITRES;79
101;Wholegrain mustard;5;GRAM;79
102;Honey;5;GRAM;79
103;Black pepper;5;GRAM;79
104;Sea salt;5;GRAM;79

105;Chicken breast;200;GRAM;81
106;Penne pasta;200;GRAM;82
107;Spinach;100;GRAM;83
108;Garlic;10;GRAM;83
109;Penne pasta;200;GRAM;84
110;Chicken breast;200;GRAM;84
111;Pesto sauce;50;GRAM;84
112;Mozzarella cheese;100;GRAM;84
113;Beetroot;300;GRAM;85
114;Vegetable stock;500;MILLILITRES;85
115;Heavy cream;100;MILLILITRES;85
116;Salt;5;GRAM;85
117;Black pepper;5;GRAM;85
118;Feta cheese;50;GRAM;85
119;Spaghetti;200;GRAM;86
120;Garlic;10;GRAM;86
121;Salmon fillets;200;GRAM;86
122;Heavy cream;100;MILLILITRES;86
123;Parmesan cheese;50;GRAM;86

124;Shrimp;500;GRAM;99
125;Garlic;5;PIECE;101
126;Butter;100;GRAM;101
127;Pasta;200;GRAM;100
128;Parmesan;50;GRAM;102
129;Cream;100;MILLILITRES;101
130;Carrot;100;GRAM;104
131;Bell Pepper;100;GRAM;104
132;Onion;1;PIECE;104
133;Soy Sauce;30;MILLILITRES;106
134;Ginger;10;GRAM;105
135;Broccoli;100;GRAM;104
136;Sesame Oil;15;MILLILITRES;106
137;Rice;150;GRAM;107
138;Eggplant;2;PIECE;108
139;Parmesan Cheese;50;GRAM;110
140;Mozzarella;100;GRAM;110
141;Bread Crumbs;50;GRAM;108
142;Marinara Sauce;200;MILLILITRES;109
143;Basil;10;GRAM;111
144;Beef;300;GRAM;112
145;Taco Seasoning;10;GRAM;112
146;Tortillas;6;PIECE;113
147;Lettuce;50;GRAM;114
148;Tomato;1;PIECE;114
149;Cheese;50;GRAM;114
150;Salsa;30;MILLILITRES;114
151;Yogurt;100;MILLILITRES;116
152;Cumin;5;GRAM;118
153;Curry Powder;5;GRAM;120
154;Garlic;3;PIECE;118
155;Ginger;5;GRAM;118
156;Tomato;2;PIECE;118
157;Cream;100;MILLILITRES;118
158;Pork Belly;500;GRAM;120
159;Olive Oil;30;MILLILITRES;120
160;Rosemary;5;GRAM;120
161;Thyme;5;GRAM;120
162;Ramen Noodles;200;GRAM;123
163;Egg;2;PIECE;123
164;Spring Onion;2;PIECE;124
165;Nori;5;PIECE;124
166;Chicken;300;GRAM;127
167;Milk;100;MILLILITRES;128
168;Basil;10;GRAM;129
169;Coconut Milk;200;MILLILITRES;131
170;Galangal;5;GRAM;131
171;Lime;2;PIECE;133
172;Mushrooms;100;GRAM;133
173;Chili;2;PIECE;133
174;Cilantro;10;GRAM;134
175;Chickpeas;200;GRAM;135
176;Onion;1;PIECE;135
177;Ginger;5;GRAM;135
178;Tomato;1;PIECE;136
179;Naan Bread;2;PIECE;138

180;Chicken;200;GRAM;139
181;Marsala Wine;240;MILLILITRES;140
182;Mushrooms;100;GRAM;140
183;Garlic;6;GRAM;140
184;Butter;30;GRAM;140
185;Cream;120;MILLILITRES;141
186;Olive Oil;30;MILLILITRES;139
187;Parsley;15;GRAM;142
188;Lamb;500;GRAM;143
189;Onion;150;GRAM;144
190;Garlic;6;GRAM;144
191;Ginger;25;GRAM;144
192;Tomato;250;GRAM;145
193;Yogurt;120;MILLILITRES;146
194;Garam Masala;15;GRAM;145
195;Cumin;15;GRAM;145
196;Coriander;15;GRAM;145
197;Duck;400;GRAM;147
198;Hoisin Sauce;60;MILLILITRES;148
199;Pancakes;8;PIECE;148
200;Spring Onion;2;PIECE;148
201;Cucumber;200;GRAM;148
202;Soy Sauce;60;MILLILITRES;148
203;Fish Fillets;500;GRAM;149
204;Cabbage;100;GRAM;150
205;Carrot;100;GRAM;150
206;Tortillas;8;PIECE;151
207;Lime;2;PIECE;150
208;Avocado;200;GRAM;151
209;Cilantro;15;GRAM;150
210;Sour Cream;60;MILLILITRES;150
211;Parmesan;50;GRAM;152
212;Mozzarella;50;GRAM;152
213;Marinara Sauce;240;MILLILITRES;153
214;Bread Crumbs;50;GRAM;152
215;Garlic;3;GRAM;152
216;Basil;15;GRAM;152
217;Potato;300;GRAM;156
218;Peas;75;GRAM;156
219;Onion;150;GRAM;156
220;Garam Masala;8;GRAM;157
221;Cumin;8;GRAM;157
222;Turmeric;8;GRAM;157
223;Pastry;1;PIECE;157
224;Beef;500;GRAM;162
225;Rice Noodles;200;GRAM;160
226;Onion;150;GRAM;160
227;Ginger;25;GRAM;160
228;Star Anise;2;PIECE;160
229;Cloves;2;PIECE;160
230;Fish Sauce;30;MILLILITRES;160
231;Lime;1;PIECE;160
232;Cilantro;15;GRAM;160
233;Puff Pastry;1;PIECE;162
234;Mushrooms;50;GRAM;163
235;Onion;100;GRAM;163
236;Dijon Mustard;15;GRAM;163
237;Egg;1;PIECE;163
238;Thyme;15;GRAM;163
239;Garlic;3;GRAM;163
240;Rice Noodles;200;GRAM;166
241;Chicken;200;GRAM;166
242;Soy Sauce;30;MILLILITRES;166
243;Garlic;3;GRAM;166
244;Broccoli;100;GRAM;166
245;Egg;1;PIECE;166
246;Sugar;15;GRAM;166
247;Lime;1;PIECE;166
248;Chicken;400;GRAM;169
249;Bell Pepper;150;GRAM;170
250;Onion;150;GRAM;170
251;Fajita Seasoning;30;GRAM;170
252;Tortillas;8;PIECE;171
253;Sour Cream;60;MILLILITRES;171
254;Guacamole;60;MILLILITRES;171
255;Beef;500;GRAM;172
256;Mushrooms;100;GRAM;173
257;Onion;150;GRAM;173
258;Sour Cream;120;MILLILITRES;174
259;Beef Broth;120;MILLILITRES;174
260;Paprika;8;GRAM;174
261;Egg Noodles;200;GRAM;175
262;Arborio Rice;200;GRAM;176
263;Broccoli;250;GRAM;177
264;Bell Pepper;150;GRAM;177
265;Peas;75;GRAM;177
266;Parmesan;50;GRAM;179
267;Chicken Stock;720;MILLILITRES;178
268;Butter;30;GRAM;176
269;Garlic;9;GRAM;176
270;Shrimp;500;GRAM;180
271;Garlic;6;GRAM;180
272;Butter;30;GRAM;180
273;Olive Oil;30;MILLILITRES;180
274;Lemon;1;PIECE;180
275;Parsley;15;GRAM;180
276;Spaghetti;200;GRAM;181
277;Cabbage;200;GRAM;183
278;Ground Beef;500;GRAM;183
279;Rice;90;GRAM;183
280;Onion;150;GRAM;183

281;Garlic;6;GRAM;183
282;Tomato Paste;30;GRAM;185
283;Parsley;15;GRAM;185
284;Eggs;2;PIECE;185
285;Chicken;400;GRAM;186
286;Yogurt;120;MILLILITRES;186
287;Lemon;1;PIECE;186
288;Olive Oil;30;MILLILITRES;186
289;Cumin;15;GRAM;186
290;Paprika;15;GRAM;186
291;Pita;4;PIECE;189
292;Cucumber;200;GRAM;189
293;Tomato;250;GRAM;189
294;Eggplant;400;GRAM;190
295;Ground Beef;500;GRAM;190
296;Tomatoes;250;GRAM;190
297;Onion;150;GRAM;190
298;Garlic;6;GRAM;190
299;Béchamel Sauce;240;MILLILITRES;191
300;Parmesan;50;GRAM;191
301;Cinnamon;8;GRAM;191
302;Tomatoes;500;GRAM;193
303;Basil;15;GRAM;194
304;Olive Oil;30;MILLILITRES;193
305;Vegetable Broth;720;MILLILITRES;193
306;Rice;200;GRAM;196
307;Peas;75;GRAM;196
308;Bell Pepper;150;GRAM;196
309;Tomato;250;GRAM;196
310;Garlic;6;GRAM;196
311;Onion;150;GRAM;196
312;Saffron;1;GRAM;196
313;Olive Oil;30;MILLILITRES;197
314;Lemon;1;PIECE;197
315;Ground Beef;500;GRAM;199
316;Kidney Beans;250;GRAM;199
317;Onion;150;GRAM;199
318;Garlic;6;GRAM;199
319;Tomatoes;250;GRAM;199
320;Chili Powder;15;GRAM;199
321;Cumin;8;GRAM;199
322;Bell Pepper;150;GRAM;199
323;Croissants;4;PIECE;202
324;Ham;200;GRAM;202
325;Cheese;200;GRAM;202
326;Lettuce;200;GRAM;202
327;Tomato;150;GRAM;202
328;Dijon Mustard;30;GRAM;202
329;Eggs;4;PIECE;205
330;Tomatoes;300;GRAM;205
331;Bell Pepper;150;GRAM;205
332;Garlic;6;GRAM;205
333;Cumin;8;GRAM;205
334;Paprika;8;GRAM;205
335;Parsley;15;GRAM;205
336;Pita;4;PIECE;207
337;Ziti Pasta;200;GRAM;208
338;Mozzarella;200;GRAM;209
339;Marinara Sauce;240;MILLILITRES;209
340;Parmesan;30;GRAM;209
341;Garlic;3;GRAM;209
342;Basil;15;GRAM;209
343;Pasta;200;GRAM;211
344;Bell Pepper;150;GRAM;211
345;Zucchini;200;GRAM;211
346;Tomato;250;GRAM;211
347;Garlic;6;GRAM;211
348;Parmesan;30;GRAM;212
349;Olive Oil;30;MILLILITRES;211
350;Chicken Wings;10;PIECE;213
351;Flour;60;GRAM;213
352;Garlic Powder;8;GRAM;213
353;Paprika;8;GRAM;213
354;Soy Sauce;30;MILLILITRES;214
355;Honey;30;MILLILITRES;214
356;Pasta;200;GRAM;216
357;Tomatoes;250;GRAM;216
358;Olives;60;GRAM;216
359;Capers;60;GRAM;216
360;Anchovies;4;PIECE;217
361;Parsley;15;GRAM;218
362;Squid;500;GRAM;219
363;Flour;60;GRAM;219
364;Garlic;6;GRAM;219
365;Lemon;1;PIECE;219
366;Olive Oil;30;MILLILITRES;219
367;Marinara Sauce;120;MILLILITRES;221
368;Pork;500;GRAM;222
369;Pineapple;120;GRAM;222
370;Bell Pepper;150;GRAM;222
371;Onion;150;GRAM;222
372;Soy Sauce;30;MILLILITRES;223
373;Vinegar;15;GRAM;223

374;Sugar;8;GRAM;223
375;Cornstarch;8;GRAM;223
376;Duck;400;GRAM;225
377;Oranges;2;PIECE;226
378;Butter;30;MILLILITRES;226
379;Chicken Broth;120;MILLILITRES;226
380;Onion;150;GRAM;226
381;Garlic;6;GRAM;226
382;Sugar;8;GRAM;226
383;Vinegar;15;MILLILITRES;226
384;Fettuccine;200;GRAM;228
385;Butter;30;MILLILITRES;228
386;Heavy Cream;120;MILLILITRES;228
387;Parmesan;50;GRAM;228
388;Garlic;6;GRAM;228
389;Parsley;15;GRAM;228
390;Ground Lamb;500;GRAM;230
391;Onion;150;GRAM;230
392;Garlic;6;GRAM;230
393;Cumin;8;GRAM;230
394;Coriander;8;GRAM;230
395;Paprika;8;GRAM;230
396;Parsley;15;GRAM;230
397;Pita;4;PIECE;231
398;Pasta;200;GRAM;233
399;Bacon;4;PIECE;233
400;Parmesan;30;GRAM;233
401;Cream;60;MILLILITRES;233
402;Olive Oil;30;MILLILITRES;233
403;Sausages;4;PIECE;236
404;Potatoes;4;PIECE;236
405;Onion;150;GRAM;236
406;Butter;30;MILLILITRES;237
407;Milk;120;MILLILITRES;237
408;Flour;16;GRAM;237
409;Beef Broth;120;MILLILITRES;237
410;Kidney Beans;250;GRAM;240
411;Tomatoes;250;GRAM;240
412;Onion;150;GRAM;240
413;Bell Pepper;150;GRAM;240
414;Chili Powder;15;GRAM;240
415;Cumin;8;GRAM;240
416;Garlic;6;GRAM;240
417;Zucchini;200;GRAM;240
418;Bread;4;PIECE;243
419;Cheese;4;PIECE;243
420;Butter;30;MILLILITRES;243
421;Ground Beef;500;GRAM;246
422;Onion;150;GRAM;246
423;Garlic;6;GRAM;246
424;Cumin;8;GRAM;246
425;Paprika;8;GRAM;246
426;Olive Oil;30;MILLILITRES;246
427;Pastry;4;PIECE;247
428;Crab Meat;500;GRAM;251
429;Breadcrumbs;30;GRAM;251
430;Egg;1;PIECE;251
431;Mayonnaise;30;MILLILITRES;251
432;Dijon Mustard;8;GRAM;251
433;Parsley;15;GRAM;251
434;Beans;250;GRAM;255
435;Tomatoes;250;GRAM;255
436;Zucchini;200;GRAM;255
437;Carrot;150;GRAM;255
438;Pasta;200;GRAM;255
439;Garlic;6;GRAM;255
440;Onion;150;GRAM;255
441;Olive Oil;30;MILLILITRES;255
442;Basil;15;GRAM;255
443;Chickpeas;250;GRAM;258
444;Onion;150;GRAM;258
445;Garlic;6;GRAM;258
446;Tomatoes;250;GRAM;258
447;Cumin;8;GRAM;258
448;Coriander;8;GRAM;258
449;Garam Masala;8;GRAM;258
450;Spinach;30;GRAM;258
451;Fish;200;GRAM;261
452;Lime;2;PIECE;261
453;Onion;150;GRAM;263
454;Cilantro;15;GRAM;263
455;Chili;1;PIECE;263
456;Salt;8;GRAM;263
457;Pepper;8;GRAM;263
458;Chickpeas;250;GRAM;265
459;Garlic;6;GRAM;265
460;Onion;150;GRAM;265
461;Parsley;15;GRAM;265
462;Cumin;8;GRAM;265
463;Coriander;8;GRAM;265
464;Tahini;30;GRAM;268
465;Lemon;1;PIECE;268
466;Bulgur;200;GRAM;270
467;Tomato;150;GRAM;271
468;Cucumber;200;GRAM;271
469;Parsley;15;GRAM;271
470;Olive Oil;30;MILLILITRES;272
471;Potatoes;4;PIECE;274
472;Clams;100;GRAM;275
473;Celery;1;PIECE;275
474;Garlic;6;GRAM;275

475;Thyme;8;GRAM;275
476;Ground Beef;500;GRAM;278
477;Taco Shells;4;PIECE;279
478;Cheddar Cheese;50;GRAM;279
479;Sour Cream;30;MILLILITRES;279
480;Shrimp;200;GRAM;282
481;Sausage;2;PIECE;283
482;Okra;240;GRAM;283
483;Bell Pepper;150;GRAM;283
484;Tomatoes;250;GRAM;283
485;Rice;200;GRAM;285
486;Egg Whites;4;PIECE;287
487;Sugar;100;GRAM;287
488;Cornstarch;8;GRAM;287
489;Vinegar;8;MILLILITRES;287
490;Whipped Cream;120;MILLILITRES;289
491;Kiwi;1;PIECE;289
492;Strawberries;3;PIECE;289
493;Passion Fruit;1;PIECE;289
494;Eggplant;2;PIECE;292
495;Marinara Sauce;120;MILLILITRES;292
496;Mozzarella;120;MILLILITRES;292
497;Parmesan;30;GRAM;292
498;Eggs;2;PIECE;292
499;Breadcrumbs;30;GRAM;292
500;Basil;15;GRAM;296
501;Chili;2;PIECE;297
502;Chocolate;50;GRAM;297
503;Tomato;250;GRAM;297
504;Almonds;30;GRAM;297
505;Sesame Seeds;30;GRAM;297
506;Chicken;500;GRAM;297
507;Flour;60;GRAM;300
508;Beer;120;MILLILITRES;300
509;Lemon;1;PIECE;300
510;Tartar Sauce;60;MILLILITRES;300
511;Biryani Masala;8;GRAM;304
512;Ginger;8;GRAM;304
513;Yogurt;120;MILLILITRES;304
514;Mint;15;GRAM;307
515;Garam Masala;8;GRAM;308
516;Paprika;8;GRAM;308
517;Celery;1;PIECE;312
518;Bell Pepper;150;GRAM;312
519;Olive Oil;30;MILLILITRES;312
520;Herbs;15;GRAM;312
521;Bread Crumbs;30;GRAM;314
522;Butter;30;MILLILITRES;314
523;Bay Leaves;2;PIECE;318
524;Cloves;2;PIECE;318
525;Broth;120;MILLILITRES;318
526;Mayo;30;MILLILITRES;322
527;Celery;30;GRAM;322
528;Roll;4;PIECE;322
529;Bacon;4;PIECE;323
530;Tomatoes;250;GRAM;323
531;Lemon;1;PIECE;323
532;Butter;30;MILLILITRES;323
533;Roll;4;PIECE;323

534;Ladyfingers;200;GRAM;33
535;Coffee;150;MILLILITRES;33
536;Mascarpone;250;GRAM;34
537;Egg yolks;4;PIECE;34
538;Sugar;100;GRAM;34
539;Cocoa powder;10;GRAM;35
540;Whipping cream;200;MILLILITRES;34

541;Flour;150;GRAM;62
542;Water;250;MILLILITRES;62
543;Sugar;30;GRAM;62
544;Vegetable oil;500;MILLILITRES;63
545;Chocolate;100;GRAM;64
546;Heavy cream;50;MILLILITRES;64
547;Chicken;500;GRAM;17
548;Butter;100;GRAM;36
549;Broth;250;MILLILITRES;37
550;Chicken;500;GRAM;39
551;Tortilla;4;PIECE;39
552;Cheese;100;GRAM;43
553;Vegetables;250;GRAM;50
554;Soy sauce;100;MILLILITRES;52
555;Chicken thighs;500;GRAM;59
556;Onion;100;GRAM;59
557;Vegetable oil;30;MILLILITRES;59
558;Paprika;20;GRAM;60
559;Sour cream;100;GRAM;60
560;Salt;5;GRAM;60
561;Black pepper;2;GRAM;60
562;Dumplings;200;GRAM;61
563;Rice;200;GRAM;61
564;Water;250;MILLILITRES;65
