GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Szakdolgozat,com.szakdologzat.repiceapp.config,AsyncConfiguration,49,0,0,0,12,0,4,0,4,0
Szakdolgozat,com.szakdologzat.repiceapp.config,WebConfigurer,60,92,10,6,15,23,10,6,2,6
Szakdolgozat,com.szakdologzat.repiceapp.web.rest.errors,BadRequestAlertException,10,34,0,0,3,13,3,2,3,2
Szakdolgozat,com.szakdologzat.repiceapp.web.rest.errors,FieldErrorVM,0,21,0,0,0,8,0,4,0,4
Szakdolgozat,com.szakdologzat.repiceapp.web.rest.errors,EmailAlreadyUsedException,0,7,0,0,0,2,0,1,0,1
Szakdolgozat,com.szakdologzat.repiceapp.web.rest.errors,ErrorConstants,0,16,0,0,0,5,0,1,0,1
Szakdolgozat,com.szakdologzat.repiceapp.web.rest.errors,LoginAlreadyUsedException,0,7,0,0,0,2,0,1,0,1
Szakdolgozat,com.szakdologzat.repiceapp.web.rest.errors,ExceptionTranslator,122,384,28,60,13,76,25,43,2,22
Szakdolgozat,com.szakdologzat.repiceapp.web.rest.errors,InvalidPasswordException,0,14,0,0,0,7,0,1,0,1
Szakdolgozat,com.szakdologzat.repiceapp.web.filter,SpaWebFilter,0,46,3,9,0,13,3,5,0,2
Szakdolgozat,com.szakdologzat.repiceapp,ApplicationWebXml,15,0,0,0,3,0,2,0,2,0
Szakdolgozat,com.szakdologzat.repiceapp,SzakdolgozatApp,125,24,8,2,23,10,8,3,3,3
Szakdolgozat,com.szakdologzat.repiceapp.domain,Ingredient,22,80,4,4,9,28,6,17,2,17
Szakdolgozat,com.szakdologzat.repiceapp.domain,Ingredient_,3,0,0,0,1,0,1,0,1,0
Szakdolgozat,com.szakdologzat.repiceapp.domain,Recipe,271,182,20,4,66,68,38,35,26,35
Szakdolgozat,com.szakdologzat.repiceapp.domain,RecipeBook_,3,0,0,0,1,0,1,0,1,0
Szakdolgozat,com.szakdologzat.repiceapp.domain,Authority,23,43,7,3,5,15,5,11,1,10
Szakdolgozat,com.szakdologzat.repiceapp.domain,RecipeBookRelation_,3,0,0,0,1,0,1,0,1,0
Szakdolgozat,com.szakdologzat.repiceapp.domain,AbstractAuditingEntity_,3,0,0,0,1,0,1,0,1,0
Szakdolgozat,com.szakdologzat.repiceapp.domain,FavoriteRelation_,3,0,0,0,1,0,1,0,1,0
Szakdolgozat,com.szakdologzat.repiceapp.domain,Authority_,3,0,0,0,1,0,1,0,1,0
Szakdolgozat,com.szakdologzat.repiceapp.domain,Recipe_,3,0,0,0,1,0,1,0,1,0
Szakdolgozat,com.szakdologzat.repiceapp.domain,RecipeBook,98,97,12,0,29,39,16,24,10,24
Szakdolgozat,com.szakdologzat.repiceapp.domain,Instruction_,3,0,0,0,1,0,1,0,1,0
Szakdolgozat,com.szakdologzat.repiceapp.domain,User_,3,0,0,0,1,0,1,0,1,0
Szakdolgozat,com.szakdologzat.repiceapp.domain,Instruction,71,88,10,2,19,34,14,18,8,18
Szakdolgozat,com.szakdologzat.repiceapp.domain,AbstractAuditingEntity,0,37,0,0,0,17,0,9,0,9
Szakdolgozat,com.szakdologzat.repiceapp.domain,RecipeBookRelation,37,34,8,0,10,14,8,9,4,9
Szakdolgozat,com.szakdologzat.repiceapp.domain,User,0,127,0,8,0,40,0,28,0,24
Szakdolgozat,com.szakdologzat.repiceapp.domain,Rating_,3,0,0,0,1,0,1,0,1,0
Szakdolgozat,com.szakdologzat.repiceapp.domain,FavoriteRelation,37,34,8,0,10,14,8,9,4,9
Szakdolgozat,com.szakdologzat.repiceapp.domain,Rating,61,94,8,0,20,39,9,24,5,24
Szakdolgozat,com.szakdologzat.repiceapp.web.rest,IngredientResource,14,196,2,12,2,43,2,14,0,9
Szakdolgozat,com.szakdologzat.repiceapp.web.rest,UserResource,7,244,3,13,2,38,3,13,0,8
Szakdolgozat,com.szakdologzat.repiceapp.web.rest,AccountResource,15,126,2,16,1,37,4,15,2,8
Szakdolgozat,com.szakdologzat.repiceapp.web.rest,ImageResource,44,13,2,0,11,5,2,2,1,2
Szakdolgozat,com.szakdologzat.repiceapp.web.rest,PublicUserResource,115,103,4,2,21,20,4,5,2,4
Szakdolgozat,com.szakdologzat.repiceapp.web.rest,RecipeBookRelationResource,25,192,2,12,4,42,4,13,2,8
Szakdolgozat,com.szakdologzat.repiceapp.web.rest,RecipeBookResource,52,185,2,12,9,40,8,12,6,7
Szakdolgozat,com.szakdologzat.repiceapp.web.rest,FavoriteRelationResource,79,159,2,10,14,37,6,11,4,7
Szakdolgozat,com.szakdologzat.repiceapp.web.rest,RatingResource,21,263,4,14,3,55,4,14,0,9
Szakdolgozat,com.szakdologzat.repiceapp.web.rest,AccountResource.AccountResourceException,4,0,0,0,2,0,1,0,1,0
Szakdolgozat,com.szakdologzat.repiceapp.web.rest,AuthorityResource,0,89,0,2,0,19,0,7,0,6
Szakdolgozat,com.szakdologzat.repiceapp.web.rest,InstructionResource,14,189,2,12,2,41,2,13,0,8
Szakdolgozat,com.szakdologzat.repiceapp.web.rest,RecipeResource,18,268,2,12,2,60,3,18,1,13
Szakdolgozat,com.szakdologzat.repiceapp.web.rest.vm,KeyAndPasswordVM,17,0,0,0,7,0,5,0,5,0
Szakdolgozat,com.szakdologzat.repiceapp.web.rest.vm,ManagedUserVM,0,14,0,0,0,6,0,4,0,4
Szakdolgozat,com.szakdologzat.repiceapp.security,SpringSecurityAuditorAware,0,9,0,0,0,2,0,2,0,2
Szakdolgozat,com.szakdologzat.repiceapp.security,UserNotActivatedException,5,4,0,0,2,2,1,1,1,1
Szakdolgozat,com.szakdologzat.repiceapp.security,DomainUserDetailsService,12,88,0,4,0,24,2,8,2,6
Szakdolgozat,com.szakdologzat.repiceapp.security,SecurityUtils,58,34,11,5,9,8,12,4,6,2
